fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2017-03-01,1014,"HONDARRIBIA, MALKARROA",GIPUZKOA,4,"12,8","0,0","5,2",03:45,"20,3",14:05,21,"2,5","10,8",13:33,"9,1","1019,0",23,"1014,9",16
2017-03-01,4267X,HINOJOSA DEL DUQUE,CORDOBA,551,"9,0","0,0","2,7",07:00,"15,3",16:30,29,"1,9","5,0",14:10,,"957,4",11,"955,2",16
2017-03-01,C629X,"MOGÁN, PUERTO",LAS PALMAS,10,"18,3","0,0","13,8",04:30,"22,8",14:30,27,"3,3","7,5",12:40,,,,,
2017-03-01,4386B,LLERENA,BADAJOZ,655,"10,4","0,2","5,9",02:20,"14,8",14:30,03,"1,7","7,8",13:20,"8,2","945,5",Varias,"943,8",15
2017-03-01,4452,BADAJOZ AEROPUERTO,BADAJOZ,185,"10,3","0,0","3,4",07:10,"17,2",16:00,32,"1,4","5,0",16:20,"4,5","999,0",13,"997,8",18
2017-03-01,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"18,3",,"16,0",05:50,"20,6",13:40,05,"2,5","10,0",00:30,,,,,
2017-03-01,3391,SOTILLO DE LA ADRADA,AVILA,630,"10,2","0,0","4,2",03:50,"16,1",14:50,99,"1,1","6,4",14:50,,,,,
2017-03-01,5390Y,VILLANUEVA DE CÓRDOBA,CORDOBA,750,"10,9","0,0","5,7",01:40,"16,1",13:50,30,"1,7","6,1",17:10,,"934,8",11,"933,0",15
2017-03-01,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"7,3","0,0","0,3",04:40,"14,3",16:00,12,"2,2","6,9",07:30,,,,,
2017-03-01,3111D,SOMOSIERRA,MADRID,1450,"6,8","0,0","1,3",08:00,"12,4",15:10,06,"0,6","10,0",00:50,,"860,6",23,"857,4",02
2017-03-01,C329Z,SAN SEBASTIÁN DE LA GOMERA,STA. CRUZ DE TENERIFE,15,"19,7","0,0","16,8",06:50,"22,6",15:20,03,"3,3","12,5",12:20,,"1016,3",00,"1012,8",17
2017-03-01,3013,MOLINA DE ARAGÓN,GUADALAJARA,1062,"9,0","0,0","1,9",23:59,"16,2",15:00,26,"1,9","8,6",15:20,"9,5","899,6",24,"896,2",00
2017-03-01,8293X,XÀTIVA,VALENCIA,88,"16,4","0,0","9,9",07:00,"23,0",15:00,99,"2,8","8,6",Varias,"9,9","1010,5",10,"1006,5",16
2017-03-01,0372C,PORQUERES,GIRONA,157,"10,4","0,0","3,8",07:00,"16,9",12:40,13,"2,2","7,8",13:00,,,,,
2017-03-01,5704B,CAZALLA DE LA SIERRA,SEVILLA,550,"10,2","0,0","2,9",02:20,"17,4",16:50,30,"0,6","5,3",14:40,,"956,8",Varias,"954,6",15
2017-03-01,1437O,MONTE IROITE,A CORUÑA,685,"7,7","27,3","6,7",06:20,"8,7",16:10,88,"9,2","16,7",Varias,,,,,
2017-03-01,5038X,CAZORLA,JAEN,813,,,,,,,14,"0,3","4,4",22:10,,,,,
2017-03-01,C429I,TENERIFE SUR AEROPUERTO,STA. CRUZ DE TENERIFE,64,"19,2","0,0","15,2",06:23,"23,3",14:22,99,"9,4","15,3",Varias,"10,6","1009,8",00,"1006,2",17
2017-03-01,8414A,VALENCIA AEROPUERTO,VALENCIA,56,"14,6","0,0","8,4",23:54,"20,9",13:11,12,"3,9","9,2",14:27,"10,9","1013,2",10,"1010,3",00
2017-03-01,1735X,XINZO DE LIMIA,OURENSE,616,"8,0","0,1","5,4",04:00,"10,6",13:00,26,"3,3","10,3",13:50,,,,,
2017-03-01,5270B,JAÉN,JAEN,580,"11,4","0,0","6,0",05:40,"16,9",15:50,33,"1,7","6,1",15:20,"10,4","953,9",10,"951,8",16
2017-03-01,9563X,CASTELLFORT,CASTELLON,1220,"7,2","0,0","1,3",04:30,"13,0",13:50,,,,,,,,,
2017-03-01,1700X,"CARBALLIÑO, O",OURENSE,400,"10,0","0,3","6,9",01:00,"13,0",14:20,28,"0,8","9,7",12:30,,,,,
2017-03-01,3526X,CORIA,CACERES,313,"10,8","0,0","4,6",07:20,"17,1",15:00,22,"2,2","7,8",16:40,"8,6","985,2",11,"983,0",Varias
2017-03-01,1387,A CORUÑA,A CORUÑA,58,"13,6","22,2","11,2",05:00,"15,9",13:10,22,"5,0","16,4",12:10,"1,7","1010,6",Varias,"1008,5",04
2017-03-01,9381I,CALAMOCHA,TERUEL,890,"10,7",,"3,0",06:00,"18,4",15:50,26,"1,4","7,8",16:10,"10,2","918,7",24,"915,4",15
2017-03-01,4121,CIUDAD REAL,CIUDAD REAL,628,"11,7","0,0","7,1",01:20,"16,3",14:50,31,"1,4","5,0",15:20,"5,6","948,9",11,"946,3",16
2017-03-01,8177A,CHINCHILLA,ALBACETE,880,"9,1","0,0","4,0",Varias,"14,2",15:50,34,"1,9","11,1",04:50,,"920,0",11,"916,7",05
2017-03-01,1183X,LLANES,ASTURIAS,10,"12,8","0,0","8,4",06:50,"17,1",14:40,25,"2,5","7,2",07:00,"8,3","1017,4",Varias,"1013,1",Varias
2017-03-01,8368U,TERUEL,TERUEL,900,"10,8","0,0","2,4",07:10,"19,3",15:20,21,"1,9","8,3",17:20,"10,3","916,7",24,"913,1",16
